dependent,predictor,standardised_beta,robust_std_error,t,p_value,ci95_lower,ci95_upper,p_fdr_bh
PERF_OVERALL,Intercept,2.7755575615628914e-17,0.0753111313409329,3.6854546096220014e-16,0.9999999999999997,-0.14760710506319416,0.14760710506319422,
PERF_OVERALL,P,0.4504769618465765,0.08001135522257143,5.630162876175052,1.8003952168492004e-08,0.2936575872560957,0.6072963364370573,9.001976084246001e-08
PERF_OVERALL,C,0.11048431695118538,0.07823921285837056,1.4121348223580066,0.15791026720368473,-0.04286172242998401,0.26383035633235474,0.15791026720368473
PERF_OVERALL,I,0.34502614258288344,0.07781300386138786,4.434042196822212,9.248251287081902e-06,0.1925154574856871,0.4975368276800798,2.3120628217704754e-05
PERF_OVERALL,O,0.2899009608181785,0.08184439181266778,3.5420992739701433,0.0003969560499616134,0.12948890052876477,0.45031302110759225,0.000661593416602689
PERF_OVERALL,H,0.1932573167090553,0.08745418097617691,2.209812207396921,0.02711819815697005,0.021850271698300616,0.36466436171981,0.03389774769621256
PERF_QUALITY,Intercept,-8.153200337090993e-17,0.09925961409697198,-8.214015751789745e-16,0.9999999999999993,-0.19454526874940942,0.19454526874940925,
PERF_QUALITY,P,0.34559358280735714,0.11982037324437235,2.884263948189535,0.003923297647321037,0.11074996663424061,0.5804371989804736,0.009808244118302592
PERF_QUALITY,C,0.07754420303087642,0.0843593173608938,0.9192132589117341,0.3579840373482782,-0.08779702075685997,0.2428854268186128,0.3579840373482782
PERF_QUALITY,I,0.298752298315832,0.09193111938902682,3.2497406786878744,0.0011551028791611205,0.11857061525488757,0.47893398137677645,0.0057755143958056025
PERF_QUALITY,O,0.23638015858491834,0.12165213799787261,1.9430826492260418,0.05200617306317188,-0.0020536505332085786,0.4748139677030453,0.08667695510528647
PERF_QUALITY,H,0.19227944769877595,0.10958398798052255,1.7546308657150869,0.07932246834941482,-0.0225012220253184,0.4070601174228703,0.09915308543676853
PERF_COST,Intercept,2.7755575615628914e-17,0.11890011616783917,2.3343606810652056e-16,0.9999999999999998,-0.23303994544659334,0.2330399454465934,
PERF_COST,P,0.18425378285366484,0.12703800609926924,1.4503831452588007,0.14695170457473225,-0.06473613376868259,0.43324369947601227,0.34686956711840466
PERF_COST,C,0.11812866139381184,0.1426468022237639,0.8281199406665176,0.40760257761109375,-0.16145393347457354,0.3977112562621972,0.5095032220138671
PERF_COST,I,0.14426862643857485,0.11461288879466935,1.2587469695230715,0.2081217402710428,-0.08036850776307142,0.3689057606402211,0.34686956711840466
PERF_COST,O,0.31818555062932624,0.1299896370796907,2.4477762826144462,0.014374087504838436,0.06341054358970011,0.5729605576689524,0.07187043752419217
PERF_COST,H,0.04635424292548673,0.1453231472289502,0.31897356896942003,0.7497465556039784,-0.23847389176326744,0.3311823776142409,0.7497465556039784
PERF_EFF,Intercept,0.0,0.12097239011036226,0.0,1.0,-0.23710152774003945,0.23710152774003945,
PERF_EFF,P,0.07431593297740538,0.11062128363297599,0.6718050137980133,0.5017078364432266,-0.1424977988668177,0.2911296648216285,0.7401036855492041
PERF_EFF,C,0.0015537916430971507,0.13099806162615785,0.011861180416022948,0.9905363691762643,-0.2551976911887307,0.258305274474925,0.9905363691762643
PERF_EFF,I,0.38510079444621337,0.1322254601771886,2.9124556944642843,0.0035859906798327273,0.1259436546596886,0.6442579342327381,0.017929953399163635
PERF_EFF,O,0.15966507778806685,0.11379063456272921,1.4031477933278287,0.1605727717626959,-0.0633604677328411,0.3826906233089748,0.4014319294067398
PERF_EFF,H,-0.06744999524165132,0.1258818137355921,-0.5358200143455699,0.5920829484393634,-0.3141738164719913,0.17927382598868866,0.7401036855492041
PERF_FLEX,Intercept,-1.734723475976807e-17,0.09887991983629807,-1.7543738696883564e-16,0.9999999999999999,-0.19380108167335192,0.19380108167335186,
PERF_FLEX,P,0.5433577565200175,0.08838398590997228,6.147694640898867,7.861719769824112e-10,0.37012832732637624,0.7165871857136588,3.930859884912056e-09
PERF_FLEX,C,0.0797977195265367,0.11464282935759937,0.6960550430731944,0.48639435946755216,-0.14489809710012924,0.3044935361532026,0.6079929493344401
PERF_FLEX,I,0.08731636139129999,0.10223650497174444,0.8540624644341275,0.39307038012363227,-0.1130635062585693,0.28769622904116926,0.6079929493344401
PERF_FLEX,O,0.02936213780723622,0.09492897210427623,0.30930639146690553,0.7570884695125422,-0.15669522860655266,0.21541950422102507,0.7570884695125422
PERF_FLEX,H,0.3100198848424016,0.11495585046239432,2.696860434639809,0.006999660033217738,0.08471055812393663,0.5353292115608665,0.017499150083044344
