dependent,predictor,standardised_beta,robust_std_error,t,p_value,ci95_lower,ci95_upper,p_fdr_bh
PERF_OVERALL,Intercept,-9.367506770274758e-17,0.07968157701950569,-1.1756176422037474e-15,0.9999999999999991,-0.15617302118958568,0.1561730211895855,
PERF_OVERALL,P,0.4310597595121254,0.08107906561589297,5.316535855929128,1.0576138938826107e-07,0.2721477110048153,0.5899718080194355,5.288069469413053e-07
PERF_OVERALL,C,0.19006846903281518,0.07094938571879844,2.6789304390334627,0.007385773549000921,0.05101022829872978,0.3291267097669006,0.009232216936251151
PERF_OVERALL,I,0.34064470325636,0.0851933535320214,3.998489191158824,6.374809164659709e-05,0.17366879861140982,0.5076206079013101,0.00015937022911649272
PERF_OVERALL,O,0.2735930188296848,0.0747443028666353,3.660386254693566,0.00025183533077904636,0.12709687716152568,0.4200891604978439,0.0004197255512984106
PERF_OVERALL,H,0.10744111174650983,0.10527853642640551,1.0205414645141468,0.30747173458429833,-0.09890102799433315,0.3137832514873528,0.30747173458429833
PERF_QUALITY,Intercept,9.020562075079397e-17,0.09955207486056428,9.061149240449158e-16,0.9999999999999992,-0.1951184813129412,0.19511848131294138,
PERF_QUALITY,P,0.2304901904484749,0.12020373641380026,1.917496055655163,0.05517494159758233,-0.005104803729719443,0.46608518462666926,0.09195823599597056
PERF_QUALITY,C,-0.010288358258029389,0.09839437936500171,-0.10456245899843437,0.9167230047357724,-0.20313779809460383,0.18256108157854503,0.9167230047357724
PERF_QUALITY,I,0.5286918179594535,0.10405244021677326,5.081013158922806,3.7542710803893616e-07,0.3247527826310708,0.7326308532878363,1.8771355401946807e-06
PERF_QUALITY,O,0.18758693829115752,0.08365284359383807,2.242445447544539,0.02493259731006191,0.023630377642872735,0.3515434989394423,0.062331493275154776
PERF_QUALITY,H,0.08972472261938252,0.1082912035929139,0.8285504236952974,0.4073588510467706,-0.12252213626522324,0.3019715815039883,0.5091985638084632
PERF_COST,Intercept,-2.42861286636753e-16,0.10516937320365917,-2.3092396506581357e-15,0.9999999999999981,-0.20612818375582406,0.20612818375582356,
PERF_COST,P,0.43473908966078567,0.10506615540482944,4.137765277369258,3.50704867272033e-05,0.22881320907323163,0.6406649702483397,0.0001753524336360165
PERF_COST,C,0.11848233654923743,0.11739314809517319,1.009278126293889,0.3128412673993183,-0.11160400574907889,0.3485686788475537,0.3910515842491478
PERF_COST,I,0.1796647772494556,0.11778698346422392,1.5253364333252166,0.12717520487457884,-0.05119346818803819,0.4105230226869494,0.21195867479096475
PERF_COST,O,0.08096347509335736,0.11900965718593041,0.680310127831618,0.496308113070664,-0.1522911668035247,0.3142181169902394,0.496308113070664
PERF_COST,H,0.29636117185027216,0.11215168312860048,2.64250311348823,0.008229570866776637,0.07654791211266682,0.5161744315878776,0.02057392716694159
PERF_EFF,Intercept,-3.95516952522712e-16,0.1047495939317757,-3.775832799698637e-15,0.999999999999997,-0.20530543150147615,0.20530543150147537,
PERF_EFF,P,0.30286584164350017,0.12668533389830486,2.390693794805183,0.016816571540843834,0.05456714983339139,0.5511645334536089,0.028027619234739724
PERF_EFF,C,0.284321119421718,0.11483996926711443,2.47580281705227,0.013293697511469919,0.05923891567248707,0.5094033231709489,0.028027619234739724
PERF_EFF,I,0.07997573684629924,0.10990383152520568,0.7276883411290112,0.46680438887704057,-0.1354318147060617,0.2953832883986602,0.46680438887704057
PERF_EFF,O,0.40432239798604114,0.10617975135513219,3.8079049237338247,0.00014014913341427917,0.19621390944256403,0.6124308865295183,0.0007007456670713957
PERF_EFF,H,-0.13443779151137436,0.11635689550784885,-1.1553917017518387,0.24793005855328565,-0.3624931160596485,0.09361753303689979,0.30991257319160703
PERF_FLEX,Intercept,2.5673907444456745e-16,0.11853396160302813,2.165953714635727e-15,0.9999999999999982,-0.23232229568678855,0.23232229568678905,
PERF_FLEX,P,0.3061668872394598,0.12999238290777665,2.3552679040945845,0.018509355785175888,0.051386498475677445,0.5609472760032421,0.09254677892587944
PERF_FLEX,C,0.1548192806304677,0.12255713486004367,1.2632416775022228,0.2065023389885451,-0.08538828974363624,0.3950268510045717,0.2995847872601216
PERF_FLEX,I,0.22165361919299076,0.1326101749033959,1.6714676634312666,0.09462934068641507,-0.038257547601222575,0.4815647859872041,0.23657335171603766
PERF_FLEX,O,0.13309076266263892,0.11318998720168301,1.1758174548204208,0.2396678298080973,-0.08875753566320943,0.35493906098848726,0.2995847872601216
PERF_FLEX,H,0.08217499495097967,0.1485418400997822,0.5532111013016875,0.5801188661778005,-0.20896166184190101,0.3733116517438604,0.5801188661778005
